"","Model","Country","Mileage","Price"
"1","         Chevrolet Caprice V8","USA",18,14525
"2","      Chevrolet Lumina APV V6","USA",18,13995
"3","       Dodge Grand Caravan V6","USA",18,15395
"4","             Ford Aerostar V6","USA",18,12267
"5","              Ford Mustang V8","USA",19,12164
"6","                 Mazda MPV V6","Japan",19,14944
"7","                 Nissan Van 4","Japan",19,14799
"8","          Chevrolet Camaro V8","USA",20,11545
"9","              Acura Legend V6","Japan",20,24760
"10","   Ford LTD Crown Victoria V8","USA",20,17257
"11","           Mitsubishi Wagon 4","Japan",20,14929
"12","              Nissan Axxess 4","Japan",20,13949
"13","          Mitsubishi Sigma V6","Japan",21,17879
"14","              Nissan Stanza 4","Japan",21,11650
"15","              Buick Century 4","USA",21,13150
"16","                 Mazda 929 V6","Japan",21,23300
"17","   Oldsmobile Cutlass Ciera 4","USA",21,13150
"18","Oldsmobile Cutlass Supreme V6","USA",21,14495
"19","      Chrysler Le Baron Coupe","USA",22,12495
"20","       Chrysler New Yorker V6","USA",22,16342
"21","             Eagle Premier V6","USA",22,15350
"22","               Ford Taurus V6","USA",22,13195
"23","             Nissan Maxima V6","Japan",22,17899
"24","              Buick Skylark 4","USA",23,10565
"25","          Oldsmobile Calais 4","USA",23,9995
"26","          Ford Thunderbird V6","USA",23,14980
"27","            Toyota Cressida 6","Japan",23,21498
"28","            Buick Le Sabre V6","USA",23,16145
"29","               Nissan 240SX 4","Japan",24,13249
"30","                 Ford Tempo 4","USA",24,9483
"31","              Subaru Loyale 4","Japan",25,9599
"32","         Chrysler Le Baron V6","USA",25,10945
"33","          Mitsubishi Galant 4","Japan",25,10989
"34","               Plymouth Laser","USA",26,10855
"35","          Chevrolet Beretta 4","USA",26,10320
"36","                Dodge Daytona","USA",27,9745
"37","       Honda Prelude Si 4WS 4","Japan",27,13945
"38","                  Subaru XT 4","Japan",28,13071
"39","                   Ford Probe","USA",30,11470
"40","              Mazda Protege 4","Japan",32,6599
"41","               Eagle Summit 4","USA",33,8895
"42","              Ford Escort   4","USA",33,7402
"43","         Honda Civic CRX Si 4","Japan",33,9410
"44","               Subaru Justy 3","Japan",34,5866
"45","              Toyota Tercel 4","Japan",35,6488
