"","EOM","AAA","threefour"
"1",360.071,5.94,5.31
"2",361.217,6,5.6
"3",358.774,6.08,5.49
"4",360.271,6.17,5.8
"5",360.139,6.14,5.61
"6",362.164,6.09,5.28
"7",362.901,5.87,5.19
"8",361.878,5.84,5.18
"9",360.922,5.99,5.3
"10",361.307,6.12,5.23
"11",362.29,6.42,5.64
"12",367.382,6.48,5.62
"13",371.031,6.52,5.67
"14",373.734,6.64,5.83
"15",373.463,6.75,5.53
"16",375.518,6.73,5.76
"17",374.804,6.89,6.09
"18",375.457,6.98,6.52
"19",375.423,6.98,6.68
"20",374.365,7.1,7.07
"21",372.314,7.19,7.12
"22",373.765,7.29,7.25
"23",372.776,7.65,7.85
"24",374.134,7.75,8.02
"25",374.88,7.72,7.87
"26",376.735,7.67,7.14
"27",374.841,7.66,7.2
"28",375.622,7.89,7.59
"29",375.461,8.14,7.74
"30",377.694,8.21,7.51
"31",380.119,8.05,7.46
"32",382.288,7.94,7.09
"33",383.27,7.88,6.82
"34",387.978,7.79,6.22
"35",394.041,7.41,5.61
"36",403.423,7.18,5.48
"37",412.727,7.15,4.78
"38",423.417,7.27,4.14
"39",429.948,7.37,4.64
"40",437.821,7.54,5.52
"41",441.703,7.58,5.95
"42",446.663,7.62,6.2
"43",447.964,7.58,6.03
"44",449.118,7.48,5.6
"45",449.234,7.35,5.26
"46",454.162,7.19,4.96
"47",456.692,7.19,5.28
"48",465.117,7.11,5.37
"49",470.408,7.16,5.53
"50",475.6,7.22,5.72
"51",475.857,7.36,6.04
"52",480.259,7.34,5.66
"53",483.432,7.3,5.75
"54",488.536,7.3,5.82
"55",493.182,7.27,5.9
"56",494.242,7.3,6.11
"57",493.484,7.31,6.05
"58",498.186,7.26,5.98
"59",500.064,7.24,6
"60",506.684,7.25,6.24
