"","nyase","bse"
"1",10581.6,78.8
"2",10234.3,69.1
"3",13299.5,87.6
"4",10746.5,72.8
"5",13310.7,79.4
"6",12835.5,85.6
"7",12194.2,75
"8",12860.4,85.3
"9",11955.6,86.9
"10",13351.5,107.8
"11",13285.9,128.7
"12",13784.4,134.5
"13",16336.7,148.7
"14",11040.5,94.2
"15",11525.3,128.1
"16",16056.4,154.1
"17",18464.3,191.3
"18",17092.2,191.9
"19",15178.8,159.6
"20",12774.8,185.5
"21",12377.8,178
"22",16856.3,271.8
"23",14635.3,212.3
"24",17436.9,139.4
"25",16482.2,106
"26",13905.4,112.1
"27",11973.7,103.5
"28",12573.6,92.5
"29",16566.8,116.9
"30",13558.7,78.9
"31",11530.9,57.4
"32",11278,75.9
"33",11263.7,109.8
"34",15649.5,129.2
"35",12197.1,115.1
