"","typeA","mortality"
"1",75.1,4.87
"2",86.5,6.56
"3",72.1,4.84
"4",89.8,4.87
"5",80.2,4.07
"6",75.6,4.16
"7",78.2,3.5
"8",86.9,7.11
"9",60,8.89
"10",93.1,4.68
"11",83.5,5.62
"12",73.3,3.98
"13",80.4,4.84
"14",85,4.07
"15",60.2,4.3
"16",60.1,3.62
"17",86.5,8.35
"18",78.2,4.55
"19",64.8,6.06
"20",77.6,9.52
"21",57.4,5.4
"22",92.3,4.75
"23",81.4,3.73
"24",72.1,4.05
"25",70.8,3.86
"26",79.9,6.65
"27",75.5,6.86
"28",100,4.97
"29",100,7.65
"30",72.4,4.17
"31",80.9,6.54
"32",77.6,3.31
"33",100,5.03
"34",84.9,6.7
"35",79.2,5.07
"36",85.6,4.82
"37",96.9,7.4
"38",87,5.56
"39",36.6,3.39
"40",100,4.21
"41",50,3.24
"42",95.5,3.62
"43",100,5.68
"44",100,4.46
"45",100,4.43
"46",100,3.22
"47",100,4.42
"48",100,7.08
"49",100,5.04
"50",100,7.58
"51",100,4.73
"52",100,5.24
"53",83.6,7.97
"54",100,6.72
"55",89.6,5.83
"56",100,6.84
"57",100,4.36
"58",100,6.51
"59",63.1,3.81
"60",100,4.47
"61",100,5.68
"62",100,4.08
"63",100,3.58
"64",59.1,5.2
"65",100,5.42
"66",68.9,3.72
"67",100,5.81
"68",100,4.55
"69",100,6.21
"70",100,8.44
"71",100,5.04
"72",0,3.92
"73",100,3.72
"74",100,4.44
"75",100,4.39
"76",100,6.17
"77",100,5.41
"78",100,7.63
"79",42.8,4.68
"80",100,6.97
"81",100,5.25
"82",100,8.86
"83",100,7.34
"84",100,4.15
"85",100,5.06
"86",65.4,3.88
"87",63.5,3.8
"88",85.6,5.9
"89",78.18,6.2
"90",63.3,5.7
"91",74.76,8.36
"92",33.89,5.8
"93",86.65,4.85
"94",64.65,5.58
"95",100,7.62
"96",78.81,11.45
"97",89.75,3.86
"98",69.61,6.32
"99",100,4.86
"100",68.25,5.58
"101",90.61,4.97
"102",100,4.64
"103",2.72,6.29
"104",100,4.84
"105",100,3.87
"106",100,6.9
"107",64.54,7.76
"108",100,7.69
"109",94.62,7.86
"110",100,8.93
"111",37.5,7.79
"112",100,6.09
"113",100,11.26
"114",100,14.96
"115",100,5.32
"116",100,5.07
"117",100,4.82
"118",100,5.18
"119",100,5.03
"120",100,5.8
"121",100,7.03
"122",100,4.63
"123",92.7,4.85
"124",100,7.23
"125",100,8.15
"126",100,5.6
"127",100,4.77
"128",100,4.87
"129",100,5.74
"130",100,6.98
"131",64.9,5.34
"132",100,5.09
"133",100,4.22
"134",100,6.39
"135",100,5.08
"136",100,8.02
"137",100,6.93
"138",65.9,4.38
"139",100,8.1
"140",100,11.18
"141",100,3.72
"142",100,4.33
"143",100,3.77
"144",100,4.86
"145",100,6.04
"146",95,4.87
"147",66.7,4.31
"148",53.3,4.25
"149",98.2,5.89
"150",100,5.87
"151",100,7.04
"152",64.9,4.73
"153",100,7.47
"154",70.1,7.96
"155",100,8.92
"156",100,6.65
