"","shipments","price"
"1",10.4374,792.319
"2",11.3957,868
"3",11.0787,801.089
"4",11.7015,715.871
"5",12.7447,723.364
"6",14.0127,748.319
"7",15.1131,765.373
"8",15.2625,755.318
"9",15.5516,749.41
"10",16.8099,713.536
"11",18.2084,685.18
"12",19.4199,677.306
"13",20.1821,644.587
"14",21.397,619.71
"15",23.6294,645.831
"16",24.9621,641.949
"17",26.584,611.973
"18",27.5711,587.816
"19",30.3758,518.01
"20",33.0719,513.24
"21",33.814,577.409
"22",33.1866,569.172
"23",35.1527,516.751
"24",27.4479,612.177
"25",13.9642,831.042
